1_06_05_C1_0213.tif,2_01_01_C1_0001.tif
1_06_05_C1_0213.tif,2_01_01_C1_0008.tif
1_06_05_C1_0213.tif,2_01_01_C1_0157.tif
1_06_05_E1_0130_O.tif,2_01_01_E1_0008_O.tif
1_06_05_E1_0130_O.tif,2_01_02_E1_0439_O.tif
1_12_02_A1_0102_O.tif,2_01_01_A1_0012_O.tif
1_12_04_A1_0065_I.tif,2_02_01_A1_0364_I.tif
1_12_04_A1_0065_I.tif,2_02_01_A1_0075_I.tif
1_14_05_A1_0115_O.tif,2_01_01_A1_0012_O.tif
1_14_05_A1_0385_I.tif,2_02_01_A1_0364_I.tif
1_14_05_A1_0385_I.tif,2_02_01_A1_0075_I.tif
1_15_01_A1_0109_O.tif,2_01_01_A1_0012_O.tif
1_15_01_A1_0100_I.tif,2_02_01_A1_0075_I.tif
1_15_01_A1_0100_I.tif,2_02_01_A1_0364_I.tif
