1_06_05_C1_0213.tif,2_01_01_C1_0001.tif,0.08,0.19,0.21,Dis_edge,1
1_06_05_C1_0213.tif,2_01_01_C1_0008.tif,0.08,0.19,0.21,Dis_edge,1
1_06_05_C1_0213.tif,2_01_01_C1_0157.tif,0.08,0.19,0.21,Dis_edge,1
1_06_05_E1_0130_O.tif,2_01_01_E1_0008_O.tif,0.08,0.03,0.04,Dis_edge,1
1_06_05_E1_0130_O.tif,2_01_02_E1_0439_O.tif,0.08,0.03,0.04,Dis_edge,1
1_11_01_A1_0172_O.tif,2_01_01_A1_0012_O.tif,0.08,0.05,0.06,Dis_edge,1:-1
1_12_01_A1_0150_O.tif,2_02_01_A1_0094_O.tif,0.08,0.03,0.05,Dis_edge,1:-1
1_12_02_A1_0102_O.tif,2_02_01_A1_0094_O.tif,0.08,0.14,0.2,Dis_edge,1:-1
1_12_04_A1_0065_I.tif,2_02_01_A1_0364_I.tif,0.08,0.01,0.05,Dis_edge,1:-1
1_12_04_A1_0065_I.tif,2_02_01_A1_0075_I.tif,0.08,0.01,0.05,Dis_edge,1:-1
1_14_05_A1_0115_O.tif,2_01_01_A1_0012_O.tif,0.08,0.11,0.16,Dis_edge,1:-1
1_14_05_A1_0385_I.tif,2_02_01_A1_0364_I.tif,0.08,0.03,0.05,Dis_edge,1:-1
1_14_05_A1_0385_I.tif,2_02_01_A1_0075_I.tif,0.08,0.03,0.05,Dis_edge,1:-1
1_15_01_A1_0109_O.tif,2_01_01_A1_0012_O.tif,0.08,0.06,0.16,Dis_edge,1:-1
1_15_01_A1_0100_I.tif,2_02_01_A1_0075_I.tif,0.08,0.13,0.16,Dis_edge,1:-1
1_15_01_A1_0100_I.tif,2_02_01_A1_0364_I.tif,0.08,0.13,0.16,Dis_edge,1:-1
1_09_02_A1_0370_O.tif,2_02_01_A1_0094_O.tif,0.08,0.04,0.16,Dis_edge,1:-1
